,name,feat_index,importance_val
0,QRSBasicStat_p_25,8,1.9045253992080688
1,QRSBasicStat_p_5,3,1.5901130437850952
2,QRSBasicStat_p_95,7,1.5637706518173218
3,QRSBasicStat_Min,6,1.4506100416183472
4,QRSBasicStatPointMedian_Var,14,1.0134921073913574
5,QRSBasicStat_Skew,5,0.9532337188720703
6,QRSBasicStatPointMedian_Min,19,0.8835732340812683
7,QRSBasicStat_Count,9,0.836808443069458
8,QRSBasicStatPointMedian_Skew,16,0.8036367297172546
9,QRSBasicStatPointMedian_p_25,18,0.7879207730293274
10,QRSBasicStatPointMedian_Range,15,0.7830160856246948
11,QRSBasicStat_p_75,4,0.7754201292991638
12,QRSBasicStat_HR,1,0.7180949449539185
13,QRSBasicStatPointMedian_Median,10,0.6947715878486633
14,QRSBasicStatPointMedian_p_75,13,0.6943529844284058
15,QRSBasicStatPointMedian_HR,11,0.6925472617149353
16,QRSBasicStat_Median,0,0.6889962553977966
17,QRSBasicStatPointMedian_Count,17,0.6746810078620911
18,QRSBasicStat_Mean,2,0.6033541560173035
19,QRSBasicStatPointMedian_Mean,12,0.597822368144989
