,name,feat_index,importance_val
0,QRSBasicStat_p_25,8,1.8051741123199463
1,QRSBasicStat_p_5,3,1.6869449615478516
2,QRSBasicStat_p_95,7,1.5181704759597778
3,QRSBasicStat_Min,6,1.4562084674835205
4,QRSBasicStatPointMedian_Var,14,1.0464967489242554
5,QRSBasicStat_Skew,5,1.0028547048568726
6,QRSBasicStatPointMedian_Min,19,0.9201359152793884
7,QRSBasicStat_Count,9,0.8824694752693176
8,QRSBasicStatPointMedian_p_25,18,0.8287442326545715
9,QRSBasicStat_p_75,4,0.8225656151771545
10,QRSBasicStatPointMedian_Skew,16,0.7787638902664185
11,QRSBasicStat_Mean,2,0.7434418201446533
12,QRSBasicStatPointMedian_Median,10,0.7389417886734009
13,QRSBasicStatPointMedian_Range,15,0.7283130288124084
14,QRSBasicStat_Median,0,0.7046984434127808
15,QRSBasicStat_HR,1,0.6884624361991882
16,QRSBasicStatPointMedian_HR,11,0.675057590007782
17,QRSBasicStatPointMedian_Mean,12,0.643841564655304
18,QRSBasicStatPointMedian_p_75,13,0.584267258644104
19,QRSBasicStatPointMedian_Count,17,0.5519746541976929
