,name,feat_index,importance_val
0,QRSBasicStatPointMedian_Median,72,20.24041175842285
1,Variability_Stepping,91,16.29776382446289
2,QRSBasicStat_Median,57,15.830768585205078
3,QRSBasicStatDeltaRR_p_75,86,8.339910507202148
4,Variability_pNN50,90,8.182202339172363
5,GetShortStatWaveFeature_103,253,7.495487689971924
6,GetShortStatWaveFeature_106,256,6.8529486656188965
7,QRSBasicStatDeltaRR_Min,84,5.749142169952393
8,QRSBasicStatPointMedian_Mean,65,5.738244533538818
9,QRSBasicStatDeltaRR_Range,79,4.942142009735107
10,SampleEn_1,43,4.92894172668457
11,QRSBasicStat_HR,51,4.296772003173828
12,QRSBasicStatPointMedian_p_75,75,3.5484375953674316
13,QRSBasicStatDeltaRR_Var,80,3.079651355743408
14,qrs_autocorr_1,148,3.0368504524230957
15,bin_stat_17,112,3.003969430923462
16,bin_stat_14,109,2.9726085662841797
17,Variability_NN50,89,2.8130242824554443
18,GetShortStatWaveFeature_78,228,2.734795093536377
19,QRSBasicStat_p_5,59,2.6892383098602295
20,GetShortStatWaveFeature_142,292,2.6086552143096924
21,QRSBasicStatDeltaRR_Kurtosis,82,2.5484137535095215
22,SampleEn_2,44,2.513972043991089
23,QRSBasicStat_Mean,50,2.4752702713012695
24,CoeffOfVariation_coeff_ts,47,2.474421262741089
25,QRSBasicStat_p_75,61,2.4527289867401123
26,GetShortStatWaveFeature_112,262,2.432074546813965
27,QRSBasicStat_Skew,55,2.150331735610962
28,Variability_Dispersion,92,2.116603374481201
29,GetShortStatWaveFeature_90,240,2.071760416030884
30,bin_stat_31,126,2.0426013469696045
31,QRSBasicStat_p_95,62,2.0029215812683105
32,QRSBasicStatDeltaRR_Count,78,1.9559918642044067
33,QRSBasicStatDeltaRR_p_25,85,1.9117573499679565
34,QRSBasicStatPointMedian_Range,68,1.8647829294204712
35,GetShortStatWaveFeature_74,224,1.8566609621047974
36,QRSBasicStat_p_25,60,1.838929295539856
37,QRSBasicStat_Min,58,1.733031153678894
38,GetShortStatWaveFeature_117,267,1.7313581705093384
39,LongSNR_snr,26,1.7252583503723145
40,QRSBasicStatPointMedian_Count,67,1.7221181392669678
41,bin_stat_6,101,1.712111234664917
42,GetShortStatWaveFeature_135,285,1.70358145236969
43,QRSBasicStatDeltaRR_Skew,81,1.6871646642684937
44,GetShortStatWaveFeature_113,263,1.6374274492263794
45,GetShortStatWaveFeature_62,212,1.5875732898712158
46,QRSBasicStatPointMedian_Var,69,1.5859403610229492
47,CDF_cdf_density,46,1.5685157775878906
48,long_autocorr_11,38,1.515626311302185
49,QRSBasicStat_Count,52,1.5086208581924438
50,bin_stat_40,135,1.4998693466186523
51,GetShortStatWaveFeature_17,167,1.4932719469070435
52,bin_stat_51,146,1.4888888597488403
53,GetShortStatWaveFeature_68,218,1.4673058986663818
54,GetShortStatWaveFeature_10,160,1.4628468751907349
55,GetShortStatWaveFeature_88,238,1.4601134061813354
56,bin_stat_30,125,1.4572761058807373
57,QRSBasicStatPointMedian_Skew,70,1.44825279712677
58,LongBasicStat_range_75_25,16,1.429126262664795
59,LongBasicStat_p_10,9,1.4010882377624512
60,bin_stat_13,108,1.3903355598449707
61,GetShortStatWaveFeature_80,230,1.360497236251831
62,bin_stat_7,102,1.3539096117019653
63,GetShortStatWaveFeature_63,213,1.3211071491241455
64,GetShortStatWaveFeature_91,241,1.3045332431793213
65,bin_stat_50,145,1.3015385866165161
66,GetShortStatWaveFeature_134,284,1.2890466451644897
67,GetShortStatWaveFeature_85,235,1.287794589996338
68,QRSBasicStat_range_95_5,63,1.2866557836532593
69,bin_stat_38,133,1.2820570468902588
70,GetShortStatWaveFeature_93,243,1.2719507217407227
71,bin_stat_8,103,1.263928771018982
72,GetShortStatWaveFeature_144,294,1.2618694305419922
73,GetShortStatWaveFeature_15,165,1.257098913192749
74,GetShortStatWaveFeature_27,177,1.2521206140518188
75,GetShortStatWaveFeature_3,153,1.2434483766555786
76,MAD_mad,49,1.2220016717910767
77,GetShortStatWaveFeature_127,277,1.218700885772705
78,GetShortStatWaveFeature_41,191,1.1886552572250366
79,bin_stat_49,144,1.1818503141403198
80,GetShortStatWaveFeature_141,291,1.1806749105453491
81,GetShortStatWaveFeature_122,272,1.1691937446594238
82,SampleEn_3,45,1.1466748714447021
83,bin_stat_10,105,1.1444966793060303
84,LongBasicStat_p_75,11,1.1359679698944092
85,bin_stat_37,132,1.1268357038497925
86,LongBasicStat_p_5,6,1.1202197074890137
87,LongBasicStat_Median,4,1.1190497875213623
88,bin_stat_1,96,1.1077769994735718
89,GetShortStatWaveFeature_61,211,1.1031723022460938
90,GetShortStatWaveFeature_28,178,1.082124948501587
91,GetShortStatWaveFeature_35,185,1.0760905742645264
92,GetShortStatWaveFeature_102,252,1.0745550394058228
93,bin_stat_4,99,1.0676473379135132
94,GetShortStatWaveFeature_101,251,1.06758713722229
95,GetShortStatWaveFeature_6,156,1.062574863433838
96,long_autocorr_9,36,1.0425570011138916
97,GetShortStatWaveFeature_147,297,1.0422875881195068
98,GetShortStatWaveFeature_9,159,1.0235198736190796
99,LongFFTBandPowerShannonEntropy_entropy,25,1.0216233730316162
100,QRSBasicStatPointMedian_p_25,74,1.014939546585083
101,GetShortStatWaveFeature_137,287,1.009324073791504
102,GetShortStatWaveFeature_121,271,1.0091588497161865
103,bin_stat_24,119,1.008386492729187
104,LongBasicStat_Var,1,1.0065679550170898
105,GetShortStatWaveFeature_16,166,1.004596471786499
106,bin_stat_34,129,1.003820538520813
107,GetShortStatWaveFeature_98,248,1.0033375024795532
108,long_autocorr_5,32,1.0025967359542847
109,bin_stat_28,123,0.9975162148475647
110,GetShortStatWaveFeature_94,244,0.9973759651184082
111,bin_stat_2,97,0.9971747994422913
112,LongThresCrossing_cnt,40,0.9934101700782776
113,GetShortStatWaveFeature_119,269,0.9876651167869568
114,GetShortStatWaveFeature_52,202,0.9793711304664612
115,QRSBasicStat_Range,53,0.9760540127754211
116,bin_stat_45,140,0.9753884077072144
117,GetShortStatWaveFeature_58,208,0.9705519080162048
118,bin_stat_23,118,0.9701160192489624
119,bin_stat_44,139,0.9696379899978638
120,SampleEn_0,42,0.9693219065666199
121,GetShortStatWaveFeature_24,174,0.9654564261436462
122,GetShortStatWaveFeature_64,214,0.9592832922935486
123,GetShortStatWaveFeature_149,299,0.9592171907424927
124,GetShortStatWaveFeature_8,158,0.9584523439407349
125,GetShortStatWaveFeature_70,220,0.955148458480835
126,GetShortStatWaveFeature_29,179,0.9544775485992432
127,QRSBasicStatPointMedian_Min,73,0.9515664577484131
128,GetShortStatWaveFeature_95,245,0.9450033903121948
129,QRSBasicStat_Var,54,0.9437901377677917
130,LongBasicStat_Range,0,0.9372421503067017
131,GetShortStatWaveFeature_131,281,0.9368489980697632
132,GetShortStatWaveFeature_111,261,0.936448872089386
133,bin_stat_15,110,0.9346765279769897
134,GetShortStatWaveFeature_87,237,0.9309535622596741
135,bin_stat_43,138,0.9307135939598083
136,GetShortStatWaveFeature_84,234,0.9229549169540405
137,GetShortStatWaveFeature_138,288,0.9227076768875122
138,GetShortStatWaveFeature_7,157,0.9159007668495178
