Method,n_iter,n_fold,F1_N,F1_A,F1_O,F1_P,F1,F1_std
XGBoost_VariabilityStats,0,5,0.8258465604640275,0.6733916531849014,0.5116793828441504,0.5116793828441504,0.5834447311670372,0.014698452457029412
XGBoost_VariabilityStats,0,5,0.8294874233321907,0.6883603862933747,0.5178437560976109,0.5178437560976109,0.5896590560152732,0.011786255923829092
XGBoost_VariabilityStats,0,5,0.8272045055770022,0.690966884950707,0.5176450904787334,0.5176450904787334,0.5905304583920898,0.026440663544015353
XGBoost_DeltaRRStats,0,5,0.8440552155392718,0.6588167523155792,0.5748875445399871,0.5748875445399871,0.5889583081263845,0.006910662478912916
