,name,importance_val
119,GetShortStatWaveFeature_58,1.0016480684280396
120,GetShortStatWaveFeature_104,0.9993448853492737
121,Variability_SDNN,0.9990819096565247
122,GetShortStatWaveFeature_85,0.9858384132385254
123,GetShortStatWaveFeature_143,0.9857872128486633
124,bin_stat_8,0.9838279485702515
125,LongFFTBandPower_1,0.9812980890274048
126,GetShortStatWaveFeature_8,0.9791944026947021
127,GetShortStatWaveFeature_47,0.9759411811828613
128,QRSBasicStat_Range,0.9732679724693298
129,GetShortStatWaveFeature_137,0.9727029204368591
130,bin_stat_37,0.9726186394691467
131,GetShortStatWaveFeature_61,0.9694117903709412
132,GetShortStatWaveFeature_79,0.9580501914024353
133,GetShortStatWaveFeature_102,0.957554042339325
134,GetShortStatWaveFeature_123,0.9575182795524597
135,QRSBasicStat_range_75_25,0.9512799978256226
136,GetShortStatWaveFeature_1,0.9504613876342773
137,GetShortStatWaveFeature_92,0.9478394985198975
138,GetShortStatWaveFeature_129,0.9466731548309326
139,GetShortStatWaveFeature_2,0.9451870322227478
140,bin_stat_49,0.9348898530006409
141,LongFFTBandPower_3,0.9334864616394043
142,GetShortStatWaveFeature_16,0.9324807524681091
143,GetShortStatWaveFeature_22,0.9310420155525208
144,GetShortStatWaveFeature_84,0.9290446043014526
145,GetShortStatWaveFeature_75,0.9255700707435608
146,long_autocorr_8,0.9204571843147278
147,GetShortStatWaveFeature_108,0.919185996055603
148,bin_stat_22,0.918053388595581
149,GetShortStatWaveFeature_132,0.913676381111145
150,GetShortStatWaveFeature_30,0.8990746140480042
151,GetShortStatWaveFeature_70,0.8964096903800964
152,GetShortStatWaveFeature_111,0.8943923711776733
153,bin_stat_16,0.8942561149597168
154,QRSBasicStatPointMedian_Count,0.8933366537094116
155,GetShortStatWaveFeature_9,0.8925756216049194
156,GetShortStatWaveFeature_126,0.8921865820884705
157,GetShortStatWaveFeature_77,0.8887760043144226
158,bin_stat_5,0.8878945708274841
159,QRSYuxi,0.8835362792015076
160,bin_stat_24,0.8820178508758545
161,LongBasicStat_p_99,0.8782010674476624
162,bin_stat_23,0.8736109137535095
163,GetShortStatWaveFeature_97,0.8711201548576355
164,GetShortStatWaveFeature_33,0.8689349889755249
165,GetShortStatWaveFeature_32,0.8687647581100464
166,GetShortStatWaveFeature_34,0.867614209651947
167,GetShortStatWaveFeature_50,0.8615660667419434
168,GetShortStatWaveFeature_94,0.8559303283691406
169,GetShortStatWaveFeature_44,0.8550088405609131
170,bin_stat_28,0.8549534678459167
171,GetShortStatWaveFeature_107,0.8492909669876099
172,long_autocorr_6,0.8465830683708191
173,GetShortStatWaveFeature_149,0.8442125916481018
174,GetShortStatWaveFeature_67,0.8441309928894043
175,GetShortStatWaveFeature_20,0.8371217846870422
176,GetShortStatWaveFeature_56,0.8361608386039734
177,GetShortStatWaveFeature_52,0.8351812958717346
178,QRSBasicStatPointMedian_Min,0.83406662940979
179,GetShortStatWaveFeature_86,0.8313717246055603
180,GetShortStatWaveFeature_121,0.8272303938865662
181,GetShortStatWaveFeature_11,0.825629711151123
182,GetShortStatWaveFeature_96,0.8244302868843079
183,GetShortStatWaveFeature_29,0.8217611312866211
184,GetShortStatWaveFeature_49,0.8133760690689087
185,QRSBasicStat_Kurtosis,0.8099530935287476
186,LongFFTBandPower_2,0.8090102672576904
187,bin_stat_25,0.8077412843704224
188,LongBasicStat_p_1,0.8066714406013489
189,LongBasicStat_p_90,0.8065103888511658
190,qrs_autocorr_2,0.803045392036438
191,bin_stat_3,0.8022805452346802
192,GetShortStatWaveFeature_37,0.8006084561347961
193,LongFFTBandPower_5,0.7977449893951416
194,GetShortStatWaveFeature_18,0.7963879704475403
195,LongFFTBandPowerShannonEntropy_entropy,0.796352744102478
196,GetShortStatWaveFeature_41,0.7957920432090759
197,GetShortStatWaveFeature_83,0.7955359816551208
198,LongBasicStat_range_95_5,0.7948150634765625
199,GetShortStatWaveFeature_23,0.7921305894851685
200,GetShortStatWaveFeature_7,0.7875433564186096
201,bin_stat_19,0.7854031324386597
202,GetShortStatWaveFeature_76,0.7768461108207703
203,LongFFTBandPower_4,0.7750282287597656
204,LongThresCrossing_width,0.7720178365707397
205,LongZeroCrossing_cnt,0.769813597202301
206,LongBasicStat_Skew,0.7688902020454407
207,QRSBasicStatDeltaRR_Median,0.7665349245071411
208,minNCCE,0.7648964524269104
209,GetShortStatWaveFeature_48,0.7631614804267883
210,GetShortStatWaveFeature_136,0.7630938291549683
211,GetShortStatWaveFeature_144,0.763077437877655
212,GetShortStatWaveFeature_24,0.7611193060874939
213,GetShortStatWaveFeature_36,0.7594568729400635
214,SampleEn_0,0.7591965794563293
215,bin_stat_18,0.7591944336891174
216,GetShortStatWaveFeature_110,0.7575697898864746
217,GetShortStatWaveFeature_28,0.7570120692253113
218,GetShortStatWaveFeature_119,0.7563192844390869
219,GetShortStatWaveFeature_69,0.7554248571395874
220,bin_stat_46,0.7544926404953003
221,LongBasicStat_Kurtosis,0.7516487836837769
222,GetShortStatWaveFeature_13,0.7497740983963013
223,GetShortStatWaveFeature_138,0.7465736269950867
224,QRSBasicStatPointMedian_Kurtosis,0.7439805865287781
225,long_zigzag,0.7411371469497681
226,long_autocorr_4,0.7404793500900269
227,GetShortStatWaveFeature_54,0.7404285073280334
228,GetShortStatWaveFeature_43,0.739298403263092
229,bin_stat_48,0.7392264604568481
230,LongBasicStat_p_25,0.7336373925209045
231,GetShortStatWaveFeature_82,0.7298157215118408
232,GetShortStatWaveFeature_89,0.7290128469467163
233,long_autocorr_7,0.7268818616867065
234,bin_stat_10,0.7261316180229187
235,GetShortStatWaveFeature_19,0.7260916233062744
236,GetShortStatWaveFeature_60,0.7217379212379456
237,QRSBasicStatDeltaRR_Mean,0.7216881513595581
238,LongBasicStat_Var,0.7204275727272034
239,GetShortStatWaveFeature_148,0.7166593670845032
240,LongFFTBandPower_0,0.7127024531364441
241,GetShortStatWaveFeature_130,0.7116073369979858
242,GetShortStatWaveFeature_0,0.7079232931137085
243,GetShortStatWaveFeature_26,0.7032583951950073
244,LongBasicStat_range_99_1,0.700877845287323
245,GetShortStatWaveFeature_81,0.6932376027107239
246,GetShortStatWaveFeature_38,0.6908428072929382
247,GetShortStatWaveFeature_15,0.6870216727256775
248,GetShortStatWaveFeature_53,0.6853771805763245
249,GetShortStatWaveFeature_45,0.6824051737785339
250,LongBasicStat_p_95,0.6777883172035217
251,bin_stat_21,0.6774277687072754
252,GetShortStatWaveFeature_71,0.6747987270355225
253,GetShortStatWaveFeature_42,0.6726933121681213
254,GetShortStatWaveFeature_12,0.6718853116035461
255,GetShortStatWaveFeature_5,0.6684035658836365
256,bin_stat_27,0.6671466827392578
257,GetShortStatWaveFeature_114,0.659918487071991
258,bin_stat_20,0.6549075245857239
259,GetShortStatWaveFeature_25,0.6525371074676514
260,GetShortStatWaveFeature_31,0.649387538433075
261,GetShortStatWaveFeature_139,0.6479872465133667
262,GetShortStatWaveFeature_66,0.6433852314949036
263,GetShortStatWaveFeature_116,0.642878532409668
264,CoeffOfVariation_coeff_dts,0.6409931778907776
265,GetShortStatWaveFeature_120,0.6286795139312744
266,GetShortStatWaveFeature_51,0.6255961656570435
267,GetShortStatWaveFeature_59,0.6230734586715698
268,GetShortStatWaveFeature_100,0.6223602890968323
269,LongFFTPower_power,0.6159063577651978
270,long_autocorr_5,0.6107231378555298
271,GetShortStatWaveFeature_14,0.6097065210342407
272,bin_stat_47,0.6046518683433533
273,bin_stat_45,0.6018182635307312
274,GetShortStatWaveFeature_99,0.6012285947799683
275,GetShortStatWaveFeature_72,0.5981308817863464
276,long_autocorr_3,0.5968601107597351
277,minCCEI,0.5846601128578186
278,GetShortStatWaveFeature_125,0.5821166634559631
279,GetShortStatWaveFeature_46,0.5730006098747253
280,bin_stat_26,0.5707165002822876
281,QRSBasicStatDeltaRR_HR,0.5679048299789429
282,GetShortStatWaveFeature_21,0.5615604519844055
283,GetShortStatWaveFeature_57,0.5574433207511902
284,long_autocorr_2,0.5536479949951172
285,GetShortStatWaveFeature_39,0.5528485774993896
286,GetShortStatWaveFeature_105,0.5511793494224548
287,GetShortStatWaveFeature_55,0.5288452506065369
288,bin_stat_33,0.5092483162879944
289,bin_stat_39,0.439014732837677
290,bin_stat_42,0.4123454689979553
291,bin_stat_35,0.36362025141716003
292,GetShortStatWaveFeature_131,0.16695170104503632
293,QRSBasicStatDeltaRR_Count,0.1235567033290863
294,GetShortStatWaveFeature_140,0.0
295,qrs_autocorr_0,0.0
296,GetShortStatWaveFeature_65,0.0
297,GetShortStatWaveFeature_115,0.0
298,long_autocorr_0,0.0
299,bin_stat_32,0.0
